SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Apr 01 06:15:04 PDT 2026
User: lpadilla
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: FLMT02840
Integration Time (usec): 100000 (FLMT02840)
Spectra Averaged: 1 (FLMT02840)
Boxcar Smoothing: 0 (FLMT02840)
Correct for Electrical Dark: No (FLMT02840)
Strobe/Lamp Enabled: No (FLMT02840)
Correct for Detector Non-linearity: No (FLMT02840)
Correct for Stray Light: No (FLMT02840)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
345.38	2568.15
345.60	2568.15
345.81	2568.15
346.03	2627.54
346.24	2660.31
346.45	2725.85
346.67	2654.17
346.88	2766.81
347.10	2672.60
347.31	2750.42
347.53	2656.22
347.74	2760.66
347.95	2643.93
348.17	2736.09
348.38	2652.12
348.60	2686.94
348.81	2670.55
349.02	2762.71
349.24	2752.47
349.45	2713.56
349.67	2793.43
349.88	2723.80
350.09	2695.13
350.31	2678.74
350.52	2789.33
350.74	2863.06
350.95	2754.52
351.17	2748.37
351.38	2777.05
351.59	2832.34
351.81	2770.90
352.02	2727.89
352.24	2852.82
352.45	2756.57
352.66	2717.65
352.88	2797.53
353.09	2793.43
353.30	2858.96
353.52	2791.38
353.73	2738.13
353.95	2725.85
354.16	2813.91
354.37	2723.80
354.59	2820.05
354.80	2789.33
355.02	2815.96
355.23	2881.49
355.44	2918.36
355.66	2781.14
355.87	2840.53
356.08	2901.97
356.30	2844.63
356.51	2850.77
356.72	2897.88
356.94	2795.48
357.15	2940.88
357.37	2940.88
357.58	2957.27
357.79	2967.51
358.01	3022.80
358.22	2977.75
358.43	3067.86
358.65	3137.49
358.86	3125.20
359.07	3194.83
359.29	3131.34
359.50	3209.17
359.71	3362.76
359.93	3401.68
360.14	3383.24
360.36	3289.04
360.57	3463.12
360.78	3413.96
361.00	3522.51
361.21	3571.66
361.42	3770.31
361.64	3692.49
361.85	3815.37
362.06	3989.44
362.28	4001.73
362.49	4059.07
362.70	4143.04
362.92	4212.67
363.13	4284.35
363.34	4487.10
363.56	4798.39
363.77	4818.87
363.98	5025.72
364.20	5230.51
364.41	5433.26
364.62	5691.31
364.83	5799.85
365.05	6297.50
365.26	6694.81
365.47	7012.24
365.69	7391.12
365.90	7815.05
366.11	8406.91
366.33	8986.49
366.54	9879.40
366.75	10800.99
366.97	11407.19
367.18	12496.71
367.39	13492.02
367.60	14368.55
367.82	15812.37
368.03	17159.93
368.24	18056.94
368.46	19533.53
368.67	21114.56
368.88	22916.77
369.10	24114.83
369.31	25448.06
369.52	27010.66
369.73	28010.07
369.95	29615.68
370.16	31045.16
370.37	32392.72
370.59	33336.84
370.80	34942.44
371.01	37031.37
371.22	37221.83
371.44	39312.81
371.65	39962.01
371.86	41051.53
372.08	42075.52
372.29	42968.43
372.50	43990.37
372.71	44735.83
372.93	45067.60
373.14	44604.76
373.35	46058.82
373.56	46325.05
373.78	46132.54
373.99	45782.34
374.20	46447.93
374.41	46048.58
374.63	44940.63
374.84	45434.19
